author,author_id,author_is_uploader,author_thumbnail,id,is_favorited,like_count,parent,text,time_text,timestamp
Mohamed Isbaine,UCuqCnZqNm5-9sTcDrDikoYw,False,https://yt3.ggpht.com/ytc/AKedOLQvW4p2g-pKb4PjdoNKFxgZBvZOHJWeCasv3xwSaQ=s176-c-k-c0x00ffffff-no-rj,Ugy_khviW3C38waOOEl4AaABAg,False,0,root,Mon ami,30 seconds ago,1658330187
Mohamed Isbaine,UCuqCnZqNm5-9sTcDrDikoYw,False,https://yt3.ggpht.com/ytc/AKedOLQvW4p2g-pKb4PjdoNKFxgZBvZOHJWeCasv3xwSaQ=s176-c-k-c0x00ffffff-no-rj,UgxKRLqwXXeFyPYgKzR4AaABAg,False,0,root,isjkhs:kfjsbfsf,53 seconds ago,1658330164
Mohamed Isbaine,UCuqCnZqNm5-9sTcDrDikoYw,False,https://yt3.ggpht.com/ytc/AKedOLQvW4p2g-pKb4PjdoNKFxgZBvZOHJWeCasv3xwSaQ=s176-c-k-c0x00ffffff-no-rj,UgziGMgzogN8lwCurNR4AaABAg,False,0,root,eteet,30 minutes ago,1658328420
Mohamed Isbaine,UCuqCnZqNm5-9sTcDrDikoYw,False,https://yt3.ggpht.com/ytc/AKedOLQvW4p2g-pKb4PjdoNKFxgZBvZOHJWeCasv3xwSaQ=s176-c-k-c0x00ffffff-no-rj,Ugx0gkIcLqpV32X6-XZ4AaABAg,False,0,root,ergtegteg,30 minutes ago,1658328420
Mohamed Isbaine,UCuqCnZqNm5-9sTcDrDikoYw,False,https://yt3.ggpht.com/ytc/AKedOLQvW4p2g-pKb4PjdoNKFxgZBvZOHJWeCasv3xwSaQ=s176-c-k-c0x00ffffff-no-rj,UgywvAll41QcADqkSsl4AaABAg,False,0,root,rgd,30 minutes ago,1658328420
ibrahima fall,UC4958juTIZGnwHKN-2oeF2Q,False,https://yt3.ggpht.com/ytc/AKedOLTkGxAK3x7nvXtvSycNF8Z_YHwsaoF_W0Fzxg=s176-c-k-c0x00ffffff-no-rj,Ugz7L6BKHVr-fS59xY94AaABAg,False,0,root,Merci grand Dame respect à vous,1 hour ago,1658325600
Mohamed Isbaine,UCuqCnZqNm5-9sTcDrDikoYw,False,https://yt3.ggpht.com/ytc/AKedOLQvW4p2g-pKb4PjdoNKFxgZBvZOHJWeCasv3xwSaQ=s176-c-k-c0x00ffffff-no-rj,UgwfDmWn_qftuuzKEIl4AaABAg,False,0,root,qksjd;nqlkc,1 hour ago,1658325600
Mohamed Isbaine,UCuqCnZqNm5-9sTcDrDikoYw,False,https://yt3.ggpht.com/ytc/AKedOLQvW4p2g-pKb4PjdoNKFxgZBvZOHJWeCasv3xwSaQ=s176-c-k-c0x00ffffff-no-rj,UgzR6ILXmOxd-NXCDPp4AaABAg,False,0,root,kjqsdnlskncf,1 hour ago,1658325600
Mohamed Isbaine,UCuqCnZqNm5-9sTcDrDikoYw,False,https://yt3.ggpht.com/ytc/AKedOLQvW4p2g-pKb4PjdoNKFxgZBvZOHJWeCasv3xwSaQ=s176-c-k-c0x00ffffff-no-rj,UgzVGCJklYUmlW5t-ql4AaABAg,False,0,root,ksqjdfvblsnk,1 hour ago,1658325600
Mohamed Isbaine,UCuqCnZqNm5-9sTcDrDikoYw,False,https://yt3.ggpht.com/ytc/AKedOLQvW4p2g-pKb4PjdoNKFxgZBvZOHJWeCasv3xwSaQ=s176-c-k-c0x00ffffff-no-rj,UgyUxbtqeP1cS_gbLR54AaABAg,False,0,root,ksgdfhlqfizkbjds,1 hour ago,1658325600
Mohamed Isbaine,UCuqCnZqNm5-9sTcDrDikoYw,False,https://yt3.ggpht.com/ytc/AKedOLQvW4p2g-pKb4PjdoNKFxgZBvZOHJWeCasv3xwSaQ=s176-c-k-c0x00ffffff-no-rj,UgwFdTfgde8aDJ62KTt4AaABAg,False,0,root,kdfjbz:f,1 hour ago,1658325600
